date,ticker,price
2024-01-01,AAPL,150.37555773268144
2024-01-02,AAPL,150.52718166858858
2024-01-03,AAPL,150.86195790570358
2024-01-04,AAPL,149.96425896300175
2024-01-05,AAPL,150.11532099874773
2024-01-06,AAPL,151.26240964495895
2024-01-07,AAPL,150.51145115202712
2024-01-08,AAPL,150.0960202754824
2024-01-09,AAPL,150.56670446625557
2024-01-10,AAPL,149.87714038086898
2024-01-11,AAPL,149.24741803976286
2024-01-12,AAPL,149.20436176024708
2024-01-13,AAPL,147.52472519354487
2024-01-14,AAPL,147.64185064607835
2024-01-15,AAPL,148.06134882974564
2024-01-16,AAPL,148.10501258995126
2024-01-17,AAPL,147.43338275596284
2024-01-18,AAPL,146.29730947821457
2024-01-19,AAPL,145.215559584474
2024-01-20,AAPL,144.86653128859177
