date,ticker,price
2024-01-01,AAPL,150.43418645379333
2024-01-02,AAPL,149.66858363019077
2024-01-03,AAPL,149.10185745049606
2024-01-04,AAPL,148.99898808951693
2024-01-05,AAPL,146.88548802757225
2024-01-06,AAPL,145.7950385036893
2024-01-07,AAPL,147.547261213381
2024-01-08,AAPL,147.7231088953771
2024-01-09,AAPL,147.47569829867695
2024-01-10,AAPL,148.24600764536126
2024-01-11,AAPL,148.87834843462835
2024-01-12,AAPL,148.7388421460638
2024-01-13,AAPL,148.80967649585799
2024-01-14,AAPL,147.0490270646579
2024-01-15,AAPL,146.0667966485252
2024-01-16,AAPL,145.9615350752425
2024-01-17,AAPL,145.83322453083164
2024-01-18,AAPL,145.95794042188768
2024-01-19,AAPL,146.12377091139078
2024-01-20,AAPL,146.2443575069605
